Vd Vg Vs Vb L Ids  
0.05 0.0 0 0 1e-06 1.011e-08 
1.0 0.0 0 0 1e-06 1.107e-08 
0.05 0.010101010101 0 0 1e-06 1.215e-08 
1.0 0.010101010101 0 0 1e-06 1.329e-08 
0.05 0.020202020202 0 0 1e-06 1.455e-08 
1.0 0.020202020202 0 0 1e-06 1.592e-08 
0.05 0.030303030303 0 0 1e-06 1.745e-08 
1.0 0.030303030303 0 0 1e-06 1.910e-08 
0.05 0.040404040404 0 0 1e-06 2.092e-08 
1.0 0.040404040404 0 0 1e-06 2.290e-08 
0.05 0.0505050505051 0 0 1e-06 2.506e-08 
1.0 0.0505050505051 0 0 1e-06 2.745e-08 
0.05 0.0606060606061 0 0 1e-06 3.001e-08 
1.0 0.0606060606061 0 0 1e-06 3.288e-08 
0.05 0.0707070707071 0 0 1e-06 3.591e-08 
1.0 0.0707070707071 0 0 1e-06 3.937e-08 
0.05 0.0808080808081 0 0 1e-06 4.293e-08 
1.0 0.0808080808081 0 0 1e-06 4.710e-08 
0.05 0.0909090909091 0 0 1e-06 5.127e-08 
1.0 0.0909090909091 0 0 1e-06 5.630e-08 
0.05 0.10101010101 0 0 1e-06 6.115e-08 
1.0 0.10101010101 0 0 1e-06 6.722e-08 
0.05 0.111111111111 0 0 1e-06 7.282e-08 
1.0 0.111111111111 0 0 1e-06 8.015e-08 
0.05 0.121212121212 0 0 1e-06 8.656e-08 
1.0 0.121212121212 0 0 1e-06 9.540e-08 
0.05 0.131313131313 0 0 1e-06 1.027e-07 
1.0 0.131313131313 0 0 1e-06 1.133e-07 
0.05 0.141414141414 0 0 1e-06 1.214e-07 
1.0 0.141414141414 0 0 1e-06 1.344e-07 
0.05 0.151515151515 0 0 1e-06 1.432e-07 
1.0 0.151515151515 0 0 1e-06 1.589e-07 
0.05 0.161616161616 0 0 1e-06 1.683e-07 
1.0 0.161616161616 0 0 1e-06 1.873e-07 
0.05 0.171717171717 0 0 1e-06 1.971e-07 
1.0 0.171717171717 0 0 1e-06 2.201e-07 
0.05 0.181818181818 0 0 1e-06 2.298e-07 
1.0 0.181818181818 0 0 1e-06 2.576e-07 
0.05 0.191919191919 0 0 1e-06 2.666e-07 
1.0 0.191919191919 0 0 1e-06 3.004e-07 
0.05 0.20202020202 0 0 1e-06 3.078e-07 
1.0 0.20202020202 0 0 1e-06 3.489e-07 
0.05 0.212121212121 0 0 1e-06 3.534e-07 
1.0 0.212121212121 0 0 1e-06 4.034e-07 
0.05 0.222222222222 0 0 1e-06 4.036e-07 
1.0 0.222222222222 0 0 1e-06 4.642e-07 
0.05 0.232323232323 0 0 1e-06 4.581e-07 
1.0 0.232323232323 0 0 1e-06 5.318e-07 
0.05 0.242424242424 0 0 1e-06 5.170e-07 
1.0 0.242424242424 0 0 1e-06 6.063e-07 
0.05 0.252525252525 0 0 1e-06 5.799e-07 
1.0 0.252525252525 0 0 1e-06 6.881e-07 
0.05 0.262626262626 0 0 1e-06 6.468e-07 
1.0 0.262626262626 0 0 1e-06 7.774e-07 
0.05 0.272727272727 0 0 1e-06 7.172e-07 
1.0 0.272727272727 0 0 1e-06 8.746e-07 
0.05 0.282828282828 0 0 1e-06 7.909e-07 
1.0 0.282828282828 0 0 1e-06 9.799e-07 
0.05 0.292929292929 0 0 1e-06 8.676e-07 
1.0 0.292929292929 0 0 1e-06 1.094e-06 
0.05 0.30303030303 0 0 1e-06 9.472e-07 
1.0 0.30303030303 0 0 1e-06 1.216e-06 
0.05 0.313131313131 0 0 1e-06 1.030e-06 
1.0 0.313131313131 0 0 1e-06 1.349e-06 
0.05 0.323232323232 0 0 1e-06 1.115e-06 
1.0 0.323232323232 0 0 1e-06 1.491e-06 
0.05 0.333333333333 0 0 1e-06 1.202e-06 
1.0 0.333333333333 0 0 1e-06 1.643e-06 
0.05 0.343434343434 0 0 1e-06 1.293e-06 
1.0 0.343434343434 0 0 1e-06 1.808e-06 
0.05 0.353535353535 0 0 1e-06 1.386e-06 
1.0 0.353535353535 0 0 1e-06 1.984e-06 
0.05 0.363636363636 0 0 1e-06 1.483e-06 
1.0 0.363636363636 0 0 1e-06 2.174e-06 
0.05 0.373737373737 0 0 1e-06 1.584e-06 
1.0 0.373737373737 0 0 1e-06 2.378e-06 
0.05 0.383838383838 0 0 1e-06 1.689e-06 
1.0 0.383838383838 0 0 1e-06 2.598e-06 
0.05 0.393939393939 0 0 1e-06 1.798e-06 
1.0 0.393939393939 0 0 1e-06 2.834e-06 
0.05 0.40404040404 0 0 1e-06 1.912e-06 
1.0 0.40404040404 0 0 1e-06 3.089e-06 
0.05 0.414141414141 0 0 1e-06 2.032e-06 
1.0 0.414141414141 0 0 1e-06 3.362e-06 
0.05 0.424242424242 0 0 1e-06 2.158e-06 
1.0 0.424242424242 0 0 1e-06 3.656e-06 
0.05 0.434343434343 0 0 1e-06 2.290e-06 
1.0 0.434343434343 0 0 1e-06 3.973e-06 
0.05 0.444444444444 0 0 1e-06 2.429e-06 
1.0 0.444444444444 0 0 1e-06 4.313e-06 
0.05 0.454545454545 0 0 1e-06 2.574e-06 
1.0 0.454545454545 0 0 1e-06 4.677e-06 
0.05 0.464646464646 0 0 1e-06 2.726e-06 
1.0 0.464646464646 0 0 1e-06 5.068e-06 
0.05 0.474747474747 0 0 1e-06 2.885e-06 
1.0 0.474747474747 0 0 1e-06 5.486e-06 
0.05 0.484848484848 0 0 1e-06 3.051e-06 
1.0 0.484848484848 0 0 1e-06 5.933e-06 
0.05 0.494949494949 0 0 1e-06 3.224e-06 
1.0 0.494949494949 0 0 1e-06 6.411e-06 
0.05 0.505050505051 0 0 1e-06 3.403e-06 
1.0 0.505050505051 0 0 1e-06 6.919e-06 
0.05 0.515151515152 0 0 1e-06 3.590e-06 
1.0 0.515151515152 0 0 1e-06 7.460e-06 
0.05 0.525252525253 0 0 1e-06 3.783e-06 
1.0 0.525252525253 0 0 1e-06 8.035e-06 
0.05 0.535353535354 0 0 1e-06 3.982e-06 
1.0 0.535353535354 0 0 1e-06 8.644e-06 
0.05 0.545454545455 0 0 1e-06 4.187e-06 
1.0 0.545454545455 0 0 1e-06 9.290e-06 
0.05 0.555555555556 0 0 1e-06 4.398e-06 
1.0 0.555555555556 0 0 1e-06 9.972e-06 
0.05 0.565656565657 0 0 1e-06 4.614e-06 
1.0 0.565656565657 0 0 1e-06 1.069e-05 
0.05 0.575757575758 0 0 1e-06 4.836e-06 
1.0 0.575757575758 0 0 1e-06 1.145e-05 
0.05 0.585858585859 0 0 1e-06 5.063e-06 
1.0 0.585858585859 0 0 1e-06 1.225e-05 
0.05 0.59595959596 0 0 1e-06 5.295e-06 
1.0 0.59595959596 0 0 1e-06 1.308e-05 
0.05 0.606060606061 0 0 1e-06 5.531e-06 
1.0 0.606060606061 0 0 1e-06 1.396e-05 
0.05 0.616161616162 0 0 1e-06 5.772e-06 
1.0 0.616161616162 0 0 1e-06 1.488e-05 
0.05 0.626262626263 0 0 1e-06 6.017e-06 
1.0 0.626262626263 0 0 1e-06 1.585e-05 
0.05 0.636363636364 0 0 1e-06 6.266e-06 
1.0 0.636363636364 0 0 1e-06 1.685e-05 
0.05 0.646464646465 0 0 1e-06 6.518e-06 
1.0 0.646464646465 0 0 1e-06 1.790e-05 
0.05 0.656565656566 0 0 1e-06 6.774e-06 
1.0 0.656565656566 0 0 1e-06 1.899e-05 
0.05 0.666666666667 0 0 1e-06 7.033e-06 
1.0 0.666666666667 0 0 1e-06 2.013e-05 
0.05 0.676767676768 0 0 1e-06 7.295e-06 
1.0 0.676767676768 0 0 1e-06 2.131e-05 
0.05 0.686868686869 0 0 1e-06 7.560e-06 
1.0 0.686868686869 0 0 1e-06 2.254e-05 
0.05 0.69696969697 0 0 1e-06 7.828e-06 
1.0 0.69696969697 0 0 1e-06 2.382e-05 
0.05 0.707070707071 0 0 1e-06 8.099e-06 
1.0 0.707070707071 0 0 1e-06 2.514e-05 
0.05 0.717171717172 0 0 1e-06 8.372e-06 
1.0 0.717171717172 0 0 1e-06 2.651e-05 
0.05 0.727272727273 0 0 1e-06 8.648e-06 
1.0 0.727272727273 0 0 1e-06 2.792e-05 
0.05 0.737373737374 0 0 1e-06 8.925e-06 
1.0 0.737373737374 0 0 1e-06 2.939e-05 
0.05 0.747474747475 0 0 1e-06 9.205e-06 
1.0 0.747474747475 0 0 1e-06 3.090e-05 
0.05 0.757575757576 0 0 1e-06 9.487e-06 
1.0 0.757575757576 0 0 1e-06 3.245e-05 
0.05 0.767676767677 0 0 1e-06 9.770e-06 
1.0 0.767676767677 0 0 1e-06 3.406e-05 
0.05 0.777777777778 0 0 1e-06 1.006e-05 
1.0 0.777777777778 0 0 1e-06 3.572e-05 
0.05 0.787878787879 0 0 1e-06 1.034e-05 
1.0 0.787878787879 0 0 1e-06 3.742e-05 
0.05 0.79797979798 0 0 1e-06 1.063e-05 
1.0 0.79797979798 0 0 1e-06 3.918e-05 
0.05 0.808080808081 0 0 1e-06 1.092e-05 
1.0 0.808080808081 0 0 1e-06 4.098e-05 
0.05 0.818181818182 0 0 1e-06 1.121e-05 
1.0 0.818181818182 0 0 1e-06 4.283e-05 
0.05 0.828282828283 0 0 1e-06 1.151e-05 
1.0 0.828282828283 0 0 1e-06 4.473e-05 
0.05 0.838383838384 0 0 1e-06 1.180e-05 
1.0 0.838383838384 0 0 1e-06 4.668e-05 
0.05 0.848484848485 0 0 1e-06 1.210e-05 
1.0 0.848484848485 0 0 1e-06 4.868e-05 
0.05 0.858585858586 0 0 1e-06 1.239e-05 
1.0 0.858585858586 0 0 1e-06 5.073e-05 
0.05 0.868686868687 0 0 1e-06 1.269e-05 
1.0 0.868686868687 0 0 1e-06 5.283e-05 
0.05 0.878787878788 0 0 1e-06 1.299e-05 
1.0 0.878787878788 0 0 1e-06 5.498e-05 
0.05 0.888888888889 0 0 1e-06 1.329e-05 
1.0 0.888888888889 0 0 1e-06 5.718e-05 
0.05 0.89898989899 0 0 1e-06 1.359e-05 
1.0 0.89898989899 0 0 1e-06 5.943e-05 
0.05 0.909090909091 0 0 1e-06 1.389e-05 
1.0 0.909090909091 0 0 1e-06 6.173e-05 
0.05 0.919191919192 0 0 1e-06 1.419e-05 
1.0 0.919191919192 0 0 1e-06 6.407e-05 
0.05 0.929292929293 0 0 1e-06 1.449e-05 
1.0 0.929292929293 0 0 1e-06 6.647e-05 
0.05 0.939393939394 0 0 1e-06 1.480e-05 
1.0 0.939393939394 0 0 1e-06 6.891e-05 
0.05 0.949494949495 0 0 1e-06 1.510e-05 
1.0 0.949494949495 0 0 1e-06 7.141e-05 
0.05 0.959595959596 0 0 1e-06 1.541e-05 
1.0 0.959595959596 0 0 1e-06 7.395e-05 
0.05 0.969696969697 0 0 1e-06 1.571e-05 
