Vd Vg Vs Vb Lg Ids qd  
0.01 0.0 0 0 1e-06 4.02383057898e-12 -8.02080297644e-05
0.12 0.0 0 0 1e-06 1.24430699446e-11 -1.14770512904e-06
0.23 0.0 0 0 1e-06 1.25635362905e-11 -1.64186685421e-08
0.34 0.0 0 0 1e-06 1.25652596388e-11 -2.34878895977e-10
0.45 0.0 0 0 1e-06 1.25652842924e-11 -3.36008340956e-12
0.56 0.0 0 0 1e-06 1.2565284645e-11 -4.80680074395e-14
0.67 0.0 0 0 1e-06 1.25652846501e-11 -6.87641661701e-16
0.78 0.0 0 0 1e-06 1.25652846502e-11 -9.83712619046e-18
0.89 0.0 0 0 1e-06 1.25652846502e-11 -1.40725987206e-19
1.0 0.0 0 0 1e-06 1.25652846502e-11 -2.01316960785e-21
0.01 0.020202020202 0 0 1e-06 8.77281268713e-12 -0.000174920590703
0.12 0.020202020202 0 0 1e-06 2.71347889871e-11 -2.50367829852e-06
0.23 0.020202020202 0 0 1e-06 2.73975822791e-11 -3.58168979982e-08
0.34 0.020202020202 0 0 1e-06 2.74013417186e-11 -5.12382196984e-10
0.45 0.020202020202 0 0 1e-06 2.74013954996e-11 -7.32993448507e-12
0.56 0.020202020202 0 0 1e-06 2.7401396269e-11 -1.04859106877e-13
0.67 0.020202020202 0 0 1e-06 2.740139628e-11 -1.50007238366e-15
0.78 0.020202020202 0 0 1e-06 2.74013962802e-11 -2.14594346951e-17
0.89 0.020202020202 0 0 1e-06 2.74013962802e-11 -3.06990077578e-19
1.0 0.020202020202 0 0 1e-06 2.74013962802e-11 -4.39167709077e-21
0.01 0.040404040404 0 0 1e-06 1.91137694181e-11 -0.000381342716541
0.12 0.040404040404 0 0 1e-06 5.91492572009e-11 -5.46165879354e-06
0.23 0.040404040404 0 0 1e-06 5.97225296194e-11 -7.81336305636e-08
0.34 0.040404040404 0 0 1e-06 5.97307307393e-11 -1.1177484239e-09
0.45 0.040404040404 0 0 1e-06 5.97308480611e-11 -1.59900612594e-11
0.56 0.040404040404 0 0 1e-06 5.97308497395e-11 -2.28747411861e-13
0.67 0.040404040404 0 0 1e-06 5.97308497635e-11 -3.27236885364e-15
0.78 0.040404040404 0 0 1e-06 5.97308497639e-11 -4.68131981349e-17
0.89 0.040404040404 0 0 1e-06 5.97308497639e-11 -6.69690862378e-19
1.0 0.040404040404 0 0 1e-06 5.97308497639e-11 -9.58032924521e-21
0.01 0.0606060606061 0 0 1e-06 4.15842124546e-11 -0.000830747937312
0.12 0.0606060606061 0 0 1e-06 1.2882315407e-10 -1.19142276055e-05
